# UEFI authenticated variable store in XM25QH256 (32MB) dump
# store header @ file 0x923048, FV @ 0x923000 (GUID FFF12B8D-...), size 0x6DFB8, 794 records
# offset    state  attrs  GUID                                   name                       dataLen
0x00928594  0x3f  0x07  59d1c24f-50f1-401a-b101-f33e0daed443  'MemorySize'                               4
0x009285EC  0x3f  0x07  8be4df61-93ca-11d2-aa0d-00e098032b8c  'HwErrRecSupport'                          2
0x0092864C  0x3f  0x07  8be4df61-93ca-11d2-aa0d-00e098032b8c  'PlatformLang'                             6
0x009286A8  0x3f  0x07  8be4df61-93ca-11d2-aa0d-00e098032b8c  'Lang'                                     4
0x009286F4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0E34'                                     1
0x0092873C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '058A'                                     6
0x00928788  0x3f  0x07  8be4df61-93ca-11d2-aa0d-00e098032b8c  'ConOut'                                   30
0x009287F0  0x3f  0x03  a5dabcf0-c7a1-4370-8c21-fa50d322a43e  'ConInAct'                                 79
0x00928890  0x3f  0x03  eada2a50-9daa-4303-ba0e-e0f5b32a88b5  'SmbiosType1SystemUuid'                    16
0x00928908  0x3f  0x07  a0543f84-e67c-4fc7-8132-1e207ae19e56  'PlatformPdtInfo'                          2
0x00928968  0x3f  0x03  b0f901e4-c424-45de-9081-95e20bde6fb5  'TCG_CONFIGURATION'                        3
0x009289CC  0x3f  0x07  04b37fe8-f6ae-480b-bdd5-37d98c5e89aa  'VarErrorFlag'                             1
0x00928A24  0x3f  0x03  60b5e939-0fcf-4227-ba83-6bbed45bc0e3  'BootState'                                1
0x00928A78  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EEF'                                     56
0x00928AF8  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EEE'                                     118
0x00928BB4  0x3f  0x07  a31abb16-c627-475b-988e-7ee0776740f3  'UNDI_DRIVER_CONFIGURATION'                12
0x00928C30  0x3f  0x03  5b446ed1-e30b-4faa-871a-3654eca36080  '2800AF9B35F8'                             20
0x00928C9C  0x3f  0x03  937fe521-95ae-4d1a-8929-48bcd90ad31a  '2800AF9B35F8'                             60
0x00928D30  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '05B6'                                     1
0x00928D78  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0436'                                     1
0x00928DC0  0x3f  0x03  f375cc65-6065-48f3-8370-6c6533741d3f  'PlatformFviSetupDataVar'                  9
0x00928E38  0x3f  0x07  b14fd152-f5e5-478f-bc43-1eed79b60fab  'TimeoutModify'                            1
0x00928E94  0x3f  0x07  b14fd152-f5e5-478f-bc43-1eed79b60fab  'TimeoutBackup'                            2
0x00928EF0  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '075E'                                     1
0x00928F38  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '076B'                                     1
0x00928F80  0x3f  0x07  5990c250-676b-4ff7-8a0d-529319d0b254  'BootFFFE'                                 72
0x00929018  0x3f  0x07  5990c250-676b-4ff7-8a0d-529319d0b254  'BootFFFD'                                 78
0x009290B4  0x3f  0x07  5990c250-676b-4ff7-8a0d-529319d0b254  'BootFFFC'                                 90
0x0092915C  0x3f  0x07  5990c250-676b-4ff7-8a0d-529319d0b254  'BootFFFB'                                 82
0x009291FC  0x3f  0x07  5990c250-676b-4ff7-8a0d-529319d0b254  'BootFFF8'                                 74
0x00929294  0x3f  0x07  5990c250-676b-4ff7-8a0d-529319d0b254  'BootFFF7'                                 74
0x0092932C  0x3f  0x07  5990c250-676b-4ff7-8a0d-529319d0b254  'BootFFF6'                                 74
0x009293C4  0x3f  0x07  8be4df61-93ca-11d2-aa0d-00e098032b8c  'DriverOrder'                              2
0x0092941C  0x3f  0x07  8be4df61-93ca-11d2-aa0d-00e098032b8c  'Driver0000'                               74
0x009294B8  0x3f  0x03  4c19049f-4137-4dd3-9c10-8b97a83ffdfa  'MemoryTypeInformation'                    56
0x00929558  0x3f  0x03  81bbceea-9fa2-4def-8fd9-366bb2d1e22b  'QuickBootVariable'                        1
0x009295BC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '074D'                                     1
0x00929604  0x3f  0x03  a5dabcf0-c7a1-4370-8c21-fa50d322a43e  'PetAlertCfg'                              67
0x0092969C  0x3f  0x03  487c1156-3b51-4d60-afd6-e893b295dde1  'MebxData'                                 4
0x009296F0  0x3f  0x03  7174f6dd-f9f9-493c-82fc-bef97abc65be  'MacPassThrough'                           7
0x00929754  0x3f  0x03  e3cacf62-3062-4e1d-978e-46807ab9747d  'PlatformConfigurationChange'              4
0x009297CC  0x3f  0x03  bac76586-3515-420b-a1b7-235a716ecaad  'OutOfBand'                                61
0x0092985C  0x3f  0x03  65cbd9d9-ab77-4a61-b288-2763405d588a  'CommonBiosUniqueSyncNum'                  1
0x009298CC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0E31'                                     2
0x00929914  0x3f  0x03  a0b1889e-00eb-445b-8ca9-e91ce43c907d  'AbtState'                                 68
0x009299A8  0x3f  0x03  77fa9abd-0359-4d32-bd60-28f4e78f784b  'CurrentActivePolicy'                      1
0x00929A10  0x3f  0x03  77fa9abd-0359-4d32-bd60-28f4e78f784b  'BootDebugPolicyApplied'                   1
0x00929A7C  0x3f  0x03  77fa9abd-0359-4d32-bd60-28f4e78f784b  'WindowsBootChainSvn'                      4
0x00929AE4  0x3f  0x03  eaec226f-c9a3-477a-a826-ddc716cdc0e3  'UnlockID'                                 32
0x00929B54  0x3f  0x07  eaec226f-c9a3-477a-a826-ddc716cdc0e3  'UnlockIDCopy'                             32
0x00929BCC  0x3f  0x07  6942d512-15a3-4e7e-bce2-377b5c56e26d  'DellMitigationGoodFlexIoConfig'           32
0x00929C68  0x3f  0x07  a66919d2-6c45-403e-b00a-9bce58e97315  'OsType'                                   1
0x00929CB4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0492'                                     30
0x00929D18  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EC1'                                     1
0x00929D60  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0EBC'                                     1
0x00929DA8  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0517'                                     1
0x00929DF0  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0E30'                                     121
0x00929EB0  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '06D7'                                     1
0x00929EF8  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '061B'                                     1
0x00929F40  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '04E0'                                     1
0x00929F88  0x3f  0x07  3d3f7898-6c62-4d5e-a939-61b173126927  'DD_CFG'                                   8
0x00929FDC  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '0E75'                                     4
0x0092A028  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '044B'                                     1
0x0092A070  0x3f  0x03  d82397bc-2e01-45f2-9061-cfe7897c52d9  'Closemnf'                                 1
0x0092A0C0  0x3f  0x03  8732b833-5367-422c-a77d-99e5b51039a8  'HSTI_RESULTS'                             535
0x0092A330  0x3f  0x03  158def5a-f656-419c-b027-7a3192c079d2  'ESP'                                      8
0x0092A37C  0x3f  0x03  158def5a-f656-419c-b027-7a3192c079d2  'LOG_DIR'                                  28
0x0092A3E4  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '048D'                                     49
0x0092A45C  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '048C'                                     1
0x0092A4A4  0x3f  0x07  eaec226f-c9a3-477a-a826-ddc716cdc0e3  'OfflineUniqueIDEKPub'                     256
0x0092A60C  0x3f  0x07  eaec226f-c9a3-477a-a826-ddc716cdc0e3  'OfflineUniqueIDEKPubCRC'                  4
0x0092A67C  0x3f  0x07  9746c6f7-68d6-49e7-b101-d0284f2dc8b5  '2502'                                     9
0x0092A6CC  0x3f  0x07  9746c6f7-68d6-49e7-b101-d0284f2dc8b5  '0504'                                     264
0x0092A81C  0x3f  0x07  9746c6f7-68d6-49e7-b101-d0284f2dc8b5  '0501'                                     4
0x0092A868  0x3f  0x07  417acee0-6fa9-4a82-99d7-f9b1dd271e48  '041E'                                     1
0x0092A8B0  0x3f  0x07  c54906f9-eb09-4457-a007-4154652fcfa5  'FactoryDefaults'                          5946
0x0092C048  0x3f  0x07  9746c6f7-68d6-49e7-b101-d0284f2dc8b5  '2503'                                     9
0x0092C098  0x3f  0x07  9746c6f7-68d6-49e7-b101-d0284f2dc8b5  '0505'                                     1
